AccountID,CustomerID,ProductID,BranchID,AccountType,OpenDate,CurrentBalance,AccountStatus,InterestRate,OverdraftLimit
A0000001,C001739,P004,B0051,Savings,2026-02-05,14971.06,Active,0.045,0
A0000002,C001843,P007,B0004,Notice Deposit,2025-12-04,19608.35,Active,0.075,0
A0000003,C001203,P012,B0025,Credit Card,2025-08-21,-26618.69,Active,0.185,42000.0
A0000004,C000357,P020,B0017,Current Account,2024-10-23,5131.23,Active,0.002,0
A0000005,C000993,P002,B0033,Current Account,2026-07-04,103069.9,Active,0.001,0
A0000006,C001087,P018,B0006,Current Account,2024-10-03,14333.35,Active,0.012,0
A0000007,C001990,P010,B0053,Credit Card,2024-04-20,-706.61,Active,0.215,5000
A0000008,C001783,P003,B0049,Current Account,2026-04-06,15760.51,Active,0.001,0
A0000009,C001366,P001,B0019,Current Account,2025-05-01,10624.03,Active,0.002,0
A0000010,C001119,P005,B0049,Savings,2025-08-20,14644.45,Active,0.055,0
A0000011,C000117,P002,B0026,Current Account,2026-01-28,30145.31,Active,0.001,0
A0000012,C001428,P010,B0024,Credit Card,2026-05-23,-3669.44,Active,0.215,12200.0
A0000013,C000063,P002,B0037,Current Account,2026-06-24,8848.28,Active,0.001,1400.0
A0000014,C000104,P004,B0019,Savings,2024-03-30,11952.31,Active,0.045,0
A0000015,C001575,P018,B0042,Current Account,2023-06-20,87444.07,Active,0.012,0
A0000016,C000541,P007,B0056,Notice Deposit,2025-12-09,68296.2,Active,0.075,0
A0000017,C001055,P012,B0042,Credit Card,2024-07-03,-8189.07,Active,0.185,12200.0
A0000018,C000144,P002,B0013,Current Account,2026-01-22,54920.24,Active,0.001,0
A0000019,C001652,P001,B0026,Current Account,2024-05-06,60636.6,Active,0.002,18000.0
A0000020,C001160,P018,B0008,Current Account,2023-07-13,18801.6,Active,0.012,0
A0000021,C000168,P008,B0040,Fixed Deposit,2025-05-19,37767.47,Active,0.085,0
A0000022,C001089,P008,B0049,Fixed Deposit,2025-10-24,14063.72,Active,0.085,0
A0000023,C000020,P020,B0036,Current Account,2026-06-10,4934.35,Dormant,0.002,0
A0000024,C001288,P009,B0033,Money Market,2026-01-27,32497.52,Active,0.068,0
A0000025,C000426,P001,B0059,Current Account,2025-01-28,16862.08,Active,0.002,0
A0000026,C001540,P005,B0037,Savings,2026-03-26,14150.26,Active,0.055,0
A0000027,C000711,P018,B0010,Current Account,2026-01-08,17783.19,Active,0.012,0
A0000028,C000227,P001,B0020,Current Account,2025-06-08,27083.55,Active,0.002,0
A0000029,C000585,P020,B0059,Current Account,2025-01-09,159441.53,Active,0.002,0
A0000030,C001085,P008,B0022,Fixed Deposit,2026-06-07,13398.01,Active,0.085,0
A0000031,C001904,P004,B0042,Savings,2024-07-26,20097.49,Active,0.045,5200.0
A0000032,C001665,P001,B0028,Current Account,2026-05-26,17476.48,Active,0.002,0
A0000033,C000383,P006,B0042,Savings,2024-04-17,29948.77,Active,0.062,0
A0000034,C001042,P003,B0037,Current Account,2026-03-08,35319.8,Active,0.001,5200.0
A0000035,C000606,P005,B0008,Savings,2022-09-18,68705.2,Active,0.055,18000.0
A0000036,C001912,P018,B0048,Current Account,2025-09-26,8462.63,Active,0.012,0
A0000037,C001046,P004,B0029,Savings,2025-02-15,57140.59,Active,0.045,0
A0000038,C000840,P004,B0024,Savings,2026-07-10,239545.83,Active,0.045,0
A0000039,C000920,P006,B0010,Savings,2024-12-23,191386.22,Active,0.062,0
A0000040,C001564,P002,B0042,Current Account,2025-01-05,5843.57,Active,0.001,0
A0000041,C000884,P007,B0039,Notice Deposit,2025-10-25,79544.03,Active,0.075,0
A0000042,C000205,P008,B0016,Fixed Deposit,2025-12-19,17002.3,Active,0.085,0
A0000043,C000922,P006,B0029,Savings,2025-09-09,43303.39,Active,0.062,0
A0000044,C000904,P004,B0006,Savings,2025-07-11,46018.3,Active,0.045,5200.0
A0000045,C000051,P004,B0049,Savings,2026-07-06,8414.57,Dormant,0.045,0
A0000046,C000591,P004,B0054,Savings,2026-05-03,7692.18,Dormant,0.045,0
A0000047,C000188,P018,B0001,Current Account,2026-05-21,47609.19,Active,0.012,0
A0000048,C001428,P001,B0025,Current Account,2026-05-25,16355.06,Active,0.002,0
A0000049,C000481,P011,B0005,Credit Card,2024-01-08,-1192.48,Dormant,0.205,12200.0
A0000050,C000707,P001,B0029,Current Account,2025-09-23,9941.63,Active,0.002,0
A0000051,C000013,P001,B0020,Current Account,2025-08-30,27960.51,Active,0.002,1400.0
A0000052,C000582,P002,B0005,Current Account,2024-12-31,113513.36,Active,0.001,0
A0000053,C000989,P010,B0005,Credit Card,2025-05-07,-548.91,Active,0.215,12200.0
A0000054,C000017,P010,B0034,Credit Card,2024-01-12,-8689.81,Closed,0.215,12200.0
A0000055,C001876,P010,B0032,Credit Card,2024-07-07,-3858.05,Active,0.215,42000.0
A0000056,C001170,P011,B0031,Credit Card,2023-10-24,-843.03,Active,0.205,5000
A0000057,C001841,P004,B0027,Savings,2025-01-05,24027.48,Active,0.045,0
A0000058,C000045,P009,B0041,Money Market,2025-12-27,81280.07,Active,0.068,0
A0000059,C001983,P006,B0035,Savings,2026-04-25,18692.76,Active,0.062,0
A0000060,C000058,P001,B0013,Current Account,2025-04-01,9683.9,Active,0.002,1400.0
A0000061,C001774,P006,B0022,Savings,2026-03-15,4681.75,Active,0.062,1400.0
A0000062,C001006,P009,B0022,Money Market,2024-05-22,23878.0,Active,0.068,0
A0000063,C000534,P005,B0049,Savings,2024-08-30,6473.23,Active,0.055,0
A0000064,C001254,P012,B0022,Credit Card,2026-07-25,-1565.36,Active,0.185,5000
A0000065,C001251,P003,B0028,Current Account,2026-02-28,11815.92,Active,0.001,0
A0000066,C001310,P019,B0012,Money Market,2025-09-13,46787.75,Active,0.078,0
A0000067,C001846,P020,B0053,Current Account,2024-06-18,70537.18,Active,0.002,5200.0
A0000068,C000459,P019,B0003,Money Market,2025-08-08,167175.66,Active,0.078,0
A0000069,C001227,P008,B0022,Fixed Deposit,2024-06-04,81980.24,Active,0.085,0
A0000070,C000932,P004,B0034,Savings,2025-08-01,4769.32,Active,0.045,0
A0000071,C000150,P008,B0029,Fixed Deposit,2026-04-10,8752.72,Dormant,0.085,0
A0000072,C000176,P018,B0025,Current Account,2023-09-03,11506.72,Active,0.012,0
A0000073,C001506,P006,B0015,Savings,2026-07-27,219016.09,Active,0.062,0
A0000074,C000982,P003,B0020,Current Account,2025-11-06,9150.27,Active,0.001,0
A0000075,C000324,P020,B0033,Current Account,2024-07-22,13195.58,Active,0.002,0
A0000076,C001620,P001,B0052,Current Account,2026-06-04,50571.54,Active,0.002,0
A0000077,C001885,P004,B0035,Savings,2024-10-03,1163.81,Active,0.045,0
A0000078,C001680,P007,B0025,Notice Deposit,2025-12-27,94117.28,Active,0.075,0
A0000079,C001941,P010,B0043,Credit Card,2025-03-29,-5365.8,Active,0.215,12200.0
A0000080,C001608,P008,B0018,Fixed Deposit,2025-11-13,9582.02,Active,0.085,0
A0000081,C000719,P020,B0049,Current Account,2024-09-08,23369.91,Active,0.002,0
A0000082,C000046,P020,B0044,Current Account,2025-12-17,21800.15,Active,0.002,0
A0000083,C001235,P001,B0060,Current Account,2025-01-21,212355.19,Dormant,0.002,0
A0000084,C000785,P019,B0018,Money Market,2025-12-05,90873.23,Active,0.078,0
A0000085,C001905,P009,B0030,Money Market,2024-11-14,20767.57,Active,0.068,0
A0000086,C000728,P008,B0060,Fixed Deposit,2023-10-08,7045.35,Active,0.085,0
A0000087,C000140,P004,B0010,Savings,2025-08-26,61256.38,Active,0.045,0
A0000088,C000952,P018,B0056,Current Account,2024-05-17,119972.52,Active,0.012,0
A0000089,C001591,P006,B0051,Savings,2022-11-17,9523.04,Active,0.062,0
A0000090,C001654,P006,B0019,Savings,2026-07-24,57482.97,Active,0.062,0
A0000091,C000356,P007,B0003,Notice Deposit,2026-03-22,7560.03,Active,0.075,0
A0000092,C000297,P006,B0012,Savings,2025-09-05,1555.82,Active,0.062,1400.0
A0000093,C000385,P005,B0025,Savings,2025-02-22,16428.53,Active,0.055,0
A0000094,C001239,P005,B0008,Savings,2026-05-15,14353.13,Active,0.055,0
A0000095,C000369,P006,B0017,Savings,2024-02-27,48893.75,Closed,0.062,0
A0000096,C001662,P002,B0049,Current Account,2024-03-28,3463.12,Active,0.001,1400.0
A0000097,C000168,P012,B0007,Credit Card,2025-10-22,-4671.96,Active,0.185,12200.0
A0000098,C001836,P005,B0048,Savings,2025-12-10,77398.09,Active,0.055,18000.0
A0000099,C000569,P020,B0019,Current Account,2026-07-17,3535.34,Dormant,0.002,0
A0000100,C001470,P006,B0038,Savings,2026-05-06,288171.05,Active,0.062,18000.0
A0000101,C001071,P005,B0048,Savings,2026-07-30,2785.17,Active,0.055,1400.0
A0000102,C001871,P020,B0056,Current Account,2025-01-09,36676.18,Active,0.002,0
A0000103,C000796,P011,B0044,Credit Card,2023-09-22,-7004.42,Active,0.205,12200.0
A0000104,C001985,P008,B0017,Fixed Deposit,2026-01-25,19411.61,Active,0.085,0
A0000105,C001914,P005,B0047,Savings,2025-12-31,5936.45,Active,0.055,0
