PaymentID,LoanID,PaymentDate,PaymentDueDate,AmountDue,AmountPaid,PaymentStatus,DaysLate
LP00000001,L0000001,2026-06-28,2026-07-01,2027.91,2027.91,On Time,0
LP00000002,L0000001,2026-06-19,2026-06-01,2027.91,1130.76,Partial,18
LP00000003,L0000001,2026-04-29,2026-05-02,2027.91,2027.91,On Time,0
LP00000004,L0000002,2026-06-30,2026-07-01,19845.71,19845.71,On Time,0
LP00000005,L0000003,2026-06-27,2026-07-01,5333.1,5333.1,On Time,0
LP00000006,L0000003,2026-05-29,2026-06-01,5333.1,5333.1,On Time,0
LP00000007,L0000003,2026-05-01,2026-05-02,5333.1,5333.1,On Time,0
LP00000008,L0000004,2026-07-10,2026-07-01,37093.7,37093.7,Late,9
LP00000009,L0000004,2026-06-05,2026-06-01,37093.7,20175.17,Partial,4
LP00000010,L0000005,2026-06-28,2026-07-01,1208.94,1208.94,On Time,0
LP00000011,L0000005,2026-06-01,2026-06-01,1208.94,1208.94,On Time,0
LP00000012,L0000005,2026-05-01,2026-05-02,1208.94,1208.94,On Time,0
LP00000013,L0000006,2026-07-01,2026-07-01,6587.87,6587.87,On Time,0
LP00000014,L0000006,2026-06-07,2026-06-01,6587.87,4568.98,Partial,6
LP00000015,L0000006,2026-04-30,2026-05-02,6587.87,6587.87,On Time,0
LP00000016,L0000007,2026-06-27,2026-07-01,523.3,523.3,On Time,0
LP00000017,L0000008,2026-06-30,2026-07-01,22984.22,22984.22,On Time,0
LP00000018,L0000008,2026-05-30,2026-06-01,22984.22,22984.22,On Time,0
LP00000019,L0000008,2026-05-06,2026-05-02,22984.22,22984.22,Late,4
LP00000020,L0000010,2026-06-28,2026-07-01,1953.82,1953.82,On Time,0
LP00000021,L0000010,2026-06-18,2026-06-01,1953.82,1682.77,Partial,17
LP00000022,L0000010,2026-04-30,2026-05-02,1953.82,1953.82,On Time,0
LP00000023,L0000011,2026-07-29,2026-07-01,16350.46,0,Missed,30
LP00000024,L0000011,2026-06-01,2026-06-01,16350.46,16350.46,On Time,0
LP00000025,L0000011,2026-05-02,2026-05-02,16350.46,16350.46,On Time,0
LP00000026,L0000012,2026-07-01,2026-07-01,4191.01,4191.01,On Time,0
LP00000027,L0000012,2026-06-29,2026-06-01,4191.01,0,Missed,30
LP00000028,L0000012,2026-05-01,2026-05-02,4191.01,4191.01,On Time,0
LP00000029,L0000013,2026-06-27,2026-07-01,17493.63,17493.63,On Time,0
LP00000030,L0000013,2026-05-31,2026-06-01,17493.63,17493.63,On Time,0
LP00000031,L0000013,2026-04-28,2026-05-02,17493.63,17493.63,On Time,0
LP00000032,L0000014,2026-07-29,2026-07-01,6568.05,0,Missed,30
LP00000033,L0000014,2026-06-21,2026-06-01,6568.05,6568.05,Late,20
LP00000034,L0000014,2026-04-28,2026-05-02,6568.05,6568.05,On Time,0
LP00000035,L0000015,2026-07-01,2026-07-01,16146.58,16146.58,On Time,0
LP00000036,L0000015,2026-05-29,2026-06-01,16146.58,16146.58,On Time,0
LP00000037,L0000015,2026-04-30,2026-05-02,16146.58,16146.58,On Time,0
LP00000038,L0000016,2026-06-28,2026-07-01,27017.7,27017.7,On Time,0
LP00000039,L0000016,2026-05-29,2026-06-01,27017.7,27017.7,On Time,0
LP00000040,L0000016,2026-04-28,2026-05-02,27017.7,27017.7,On Time,0
LP00000041,L0000017,2026-06-29,2026-07-01,3899.83,3899.83,On Time,0
LP00000042,L0000017,2026-05-31,2026-06-01,3899.83,3899.83,On Time,0
LP00000043,L0000017,2026-05-01,2026-05-02,3899.83,3899.83,On Time,0
LP00000044,L0000018,2026-07-15,2026-07-01,4981.63,4981.63,Late,14
LP00000045,L0000018,2026-06-01,2026-06-01,4981.63,4981.63,On Time,0
LP00000046,L0000018,2026-05-01,2026-05-02,4981.63,4981.63,On Time,0
LP00000047,L0000019,2026-06-30,2026-07-01,7383.43,7383.43,On Time,0
LP00000048,L0000019,2026-05-30,2026-06-01,7383.43,7383.43,On Time,0
LP00000049,L0000019,2026-05-30,2026-05-02,7383.43,0,Missed,45
LP00000050,L0000020,2026-06-28,2026-07-01,3563.69,3563.69,On Time,0
LP00000051,L0000020,2026-05-28,2026-06-01,3563.69,3563.69,On Time,0
LP00000052,L0000020,2026-04-30,2026-05-02,3563.69,3563.69,On Time,0
LP00000053,L0000021,2026-06-30,2026-07-01,8511.74,8511.74,On Time,0
LP00000054,L0000021,2026-06-17,2026-06-01,8511.74,7494.74,Partial,16
LP00000055,L0000021,2026-04-29,2026-05-02,8511.74,8511.74,On Time,0
LP00000056,L0000022,2026-06-27,2026-07-01,2558.68,2558.68,On Time,0
LP00000057,L0000022,2026-06-12,2026-06-01,2558.68,1342.96,Partial,11
LP00000058,L0000022,2026-05-01,2026-05-02,2558.68,2558.68,On Time,0
LP00000059,L0000023,2026-06-29,2026-07-01,13754.09,13754.09,On Time,0
LP00000060,L0000023,2026-06-29,2026-06-01,13754.09,0,Missed,60
LP00000061,L0000023,2026-05-30,2026-05-02,13754.09,0,Missed,60
LP00000062,L0000024,2026-06-28,2026-07-01,27817.24,27817.24,On Time,0
LP00000063,L0000024,2026-05-29,2026-06-01,27817.24,27817.24,On Time,0
LP00000064,L0000024,2026-04-30,2026-05-02,27817.24,27817.24,On Time,0
LP00000065,L0000025,2026-07-29,2026-07-01,10590.15,0,Missed,45
LP00000066,L0000025,2026-06-01,2026-06-01,10590.15,10590.15,On Time,0
LP00000067,L0000025,2026-04-30,2026-05-02,10590.15,10590.15,On Time,0
LP00000068,L0000026,2026-06-30,2026-07-01,5919.45,5919.45,On Time,0
LP00000069,L0000026,2026-05-29,2026-06-01,5919.45,5919.45,On Time,0
LP00000070,L0000026,2026-04-29,2026-05-02,5919.45,5919.45,On Time,0
LP00000071,L0000027,2026-07-01,2026-07-01,22347.51,22347.51,On Time,0
LP00000072,L0000027,2026-05-30,2026-06-01,22347.51,22347.51,On Time,0
LP00000073,L0000027,2026-05-01,2026-05-02,22347.51,22347.51,On Time,0
LP00000074,L0000028,2026-06-27,2026-07-01,3828.0,3828.0,On Time,0
LP00000075,L0000028,2026-05-31,2026-06-01,3828.0,3828.0,On Time,0
LP00000076,L0000028,2026-04-29,2026-05-02,3828.0,3828.0,On Time,0
LP00000077,L0000029,2026-07-01,2026-07-01,6704.13,6704.13,On Time,0
LP00000078,L0000029,2026-05-30,2026-06-01,6704.13,6704.13,On Time,0
LP00000079,L0000029,2026-05-01,2026-05-02,6704.13,6704.13,On Time,0
LP00000080,L0000030,2026-06-30,2026-07-01,3802.8,3802.8,On Time,0
LP00000081,L0000030,2026-05-30,2026-06-01,3802.8,3802.8,On Time,0
LP00000082,L0000030,2026-05-01,2026-05-02,3802.8,3802.8,On Time,0
LP00000083,L0000031,2026-07-01,2026-07-01,3357.49,3357.49,On Time,0
LP00000084,L0000031,2026-05-29,2026-06-01,3357.49,3357.49,On Time,0
LP00000085,L0000031,2026-04-30,2026-05-02,3357.49,3357.49,On Time,0
LP00000086,L0000032,2026-06-27,2026-07-01,2948.46,2948.46,On Time,0
LP00000087,L0000032,2026-05-30,2026-06-01,2948.46,2948.46,On Time,0
LP00000088,L0000032,2026-05-01,2026-05-02,2948.46,2948.46,On Time,0
LP00000089,L0000033,2026-06-28,2026-07-01,6446.47,6446.47,On Time,0
LP00000090,L0000033,2026-05-31,2026-06-01,6446.47,6446.47,On Time,0
LP00000091,L0000033,2026-05-01,2026-05-02,6446.47,6446.47,On Time,0
LP00000092,L0000034,2026-07-19,2026-07-01,8104.45,8104.45,Late,18
