LoanID,CustomerID,BranchID,LoanType,ApplicationDate,ApprovalDate,PrincipalAmount,OutstandingBalance,InterestRate,LoanTermMonths,MonthlyPayment,LoanStatus,RiskRating,DaysPastDue
L0000001,C000658,B0007,Credit Facility,2026-04-17,2026-04-26,39921,35429.89,0.198,24,2027.91,Current,Low,0
L0000002,C000379,B0054,Home Loan,2026-06-25,2026-06-26,1564460,1556637.7,0.1305,180,19845.71,Current,Medium,0
L0000003,C000307,B0032,Personal Loan,2024-10-24,2024-11-01,161658,101036.25,0.247,48,5333.1,Current,Medium,0
L0000004,C000379,B0009,Business Loan,2026-05-20,2026-05-24,740849,685285.33,0.183,24,37093.7,Current,Medium,0
L0000005,C001780,B0058,Personal Loan,2025-02-02,2025-02-11,31273,17981.97,0.229,36,1208.94,Current,Low,0
L0000006,C001223,B0016,Personal Loan,2024-11-13,2024-11-14,225800,158060.0,0.247,60,6587.87,Current,Medium,0
L0000007,C001042,B0032,Personal Loan,2026-06-21,2026-06-26,18601,18321.99,0.229,60,523.3,Current,Low,0
L0000008,C000878,B0040,Home Loan,2025-09-23,2025-09-26,1811873,1721279.35,0.1305,180,22984.22,Current,Medium,0
L0000009,C000523,B0007,Personal Loan,2026-06-29,2026-07-07,198434,198434.0,0.247,60,5789.45,Current,Medium,0
L0000010,C000944,B0045,Vehicle Finance,2025-04-29,2025-05-02,95066,78429.45,0.139,72,1953.82,Current,Low,0
L0000011,C001924,B0006,Vehicle Finance,2025-01-30,2025-02-08,676787,504206.32,0.157,60,16350.46,Current,Medium,0
L0000012,C001831,B0051,Personal Loan,2026-02-24,2026-03-02,136183,128012.02,0.274,60,4191.01,Current,High,0
L0000013,C001608,B0018,Home Loan,2025-03-02,2025-03-07,1379043,1268719.56,0.1305,180,17493.63,Current,Medium,0
L0000014,C000428,B0050,Personal Loan,2024-06-03,2024-06-06,68266,6826.6,0.274,12,6568.05,Current,High,0
L0000015,C000280,B0020,Home Loan,2025-05-23,2025-05-25,1160214,1038391.53,0.1125,120,16146.58,Current,Low,0
L0000016,C001306,B0041,Home Loan,2025-01-07,2025-01-13,2344585,2133572.35,0.1125,180,27017.7,Current,Low,0
L0000017,C000049,B0026,Personal Loan,2024-06-07,2024-06-09,133667,83541.88,0.247,60,3899.83,Current,Medium,0
L0000018,C001018,B0053,Home Loan,2025-07-25,2025-08-04,474777,455192.45,0.1125,240,4981.63,Current,Low,0
L0000019,C001519,B0053,Personal Loan,2025-07-13,2025-07-20,230756,178835.9,0.229,48,7383.43,Current,Low,0
L0000020,C000655,B0049,Credit Facility,2025-11-02,2025-11-03,70154,49107.8,0.198,24,3563.69,Current,Low,0
L0000021,C001267,B0022,Home Loan,2023-11-27,2023-12-07,670990,566986.55,0.1305,180,8511.74,Current,Medium,0
L0000022,C001829,B0006,Personal Loan,2025-09-25,2025-09-29,79967,64973.19,0.229,48,2558.68,Current,Low,0
L0000023,C001823,B0058,Vehicle Finance,2025-07-09,2025-07-18,487961,378169.78,0.157,48,13754.09,In Arrears,Medium,45
L0000024,C001598,B0053,Business Loan,2025-06-15,2025-06-24,1131494,910852.67,0.165,60,27817.24,Current,Low,0
L0000025,C001955,B0026,Vehicle Finance,2024-07-13,2024-07-23,438353,280545.92,0.157,60,10590.15,Current,Medium,0
L0000026,C000407,B0030,Personal Loan,2026-01-07,2026-01-16,210409,191472.19,0.229,60,5919.45,Current,Low,0
L0000027,C000481,B0054,Business Loan,2025-10-09,2025-10-17,454196,300904.85,0.165,24,22347.51,Current,Low,0
L0000028,C000620,B0041,Home Loan,2025-06-27,2025-07-04,364830,348412.65,0.1125,240,3828.0,Current,Low,0
L0000029,C000946,B0024,Personal Loan,2024-08-17,2024-08-18,128128,17617.6,0.229,24,6704.13,Current,Low,0
L0000030,C001547,B0040,Vehicle Finance,2025-04-05,2025-04-13,148480,115072.0,0.184,60,3802.8,Current,High,0
L0000031,C001873,B0002,Vehicle Finance,2026-04-14,2026-04-22,163364,157237.85,0.139,72,3357.49,Current,Low,0
L0000032,C000518,B0035,Personal Loan,2026-03-27,2026-03-29,92149,85237.82,0.229,48,2948.46,Current,Low,0
L0000033,C000795,B0042,Personal Loan,2025-06-02,2025-06-08,201473,152363.96,0.229,48,6446.47,Current,Low,0
L0000034,C000610,B0015,Personal Loan,2026-04-25,2026-05-02,209647,199164.65,0.229,36,8104.45,Current,Low,0
L0000035,C001565,B0033,Personal Loan,2025-07-27,2025-08-05,149777,108588.32,0.229,36,5790.02,Current,Low,0
L0000036,C001083,B0045,Business Loan,2025-12-25,2026-01-02,628099,571570.09,0.165,60,15441.51,Current,Low,0
L0000037,C000481,B0006,Vehicle Finance,2025-09-17,2025-09-18,155579,136131.62,0.139,72,3197.5,Current,Low,0
L0000038,C001283,B0003,Personal Loan,2026-02-17,2026-02-21,339855,307993.59,0.229,48,10874.24,Current,Low,0
L0000039,C001872,B0011,Home Loan,2026-05-03,2026-05-07,2054690,2039279.83,0.1125,240,21558.96,Current,Low,0
L0000040,C000211,B0049,Personal Loan,2026-01-27,2026-01-27,261888,238318.08,0.229,60,7367.71,Current,Low,0
L0000041,C001391,B0010,Vehicle Finance,2026-02-28,2026-03-05,373510,354834.5,0.157,72,8040.55,Current,Medium,0
L0000042,C000685,B0049,Business Loan,2026-03-17,2026-03-20,785691,667837.35,0.165,24,38657.84,Current,Low,0
L0000043,C001783,B0023,Personal Loan,2026-06-21,2026-06-26,326058,319944.41,0.247,48,10756.66,Current,Medium,0
L0000044,C000420,B0025,Personal Loan,2024-08-30,2024-08-31,260693,170753.92,0.229,60,7334.09,Current,Low,0
L0000045,C000834,B0050,Personal Loan,2026-06-02,2026-06-07,252460,242992.75,0.229,24,13209.63,Current,Low,0
L0000046,C001252,B0025,Vehicle Finance,2026-06-10,2026-06-17,343745,337299.78,0.157,48,9689.1,Current,Medium,0
L0000047,C000041,B0034,Business Loan,2024-10-02,2024-10-08,1017689,483402.27,0.165,36,36030.65,Current,Low,0
L0000048,C001637,B0015,Personal Loan,2023-03-29,2023-03-30,347912,139164.8,0.274,60,10706.94,Current,High,0
