TransactionID,AccountID,TransactionDate,TransactionTime,TransactionType,TransactionAmount,Channel,TransactionStatus,MerchantCategory,Province
T000000001,A0003102,2025-02-09,10:31:42,Debit Order,674.73,Card,Successful,N/A,North West
T000000002,A0002210,2026-05-03,06:27:11,Card Purchase,533.52,Branch,Successful,Healthcare,Gauteng
T000000003,A0000835,2026-06-10,09:15:15,Bank Fee,234.79,Card,Successful,N/A,KwaZulu-Natal
T000000004,A0000481,2026-07-29,15:42:35,Deposit,4976.48,POS,Successful,N/A,Mpumalanga
T000000005,A0001614,2026-04-29,15:35:28,Withdrawal,788.38,POS,Successful,N/A,Gauteng
T000000006,A0001308,2026-01-19,20:38:25,Debit Order,412.76,Card,Successful,N/A,Gauteng
T000000007,A0000204,2025-07-28,22:11:37,Card Purchase,366.8,Card,Successful,Entertainment,Limpopo
T000000008,A0000007,2026-02-10,19:12:11,Transfer,603.23,Branch,Successful,N/A,KwaZulu-Natal
T000000009,A0000842,2026-05-30,16:34:51,Bank Fee,6370.1,POS,Successful,N/A,Gauteng
T000000010,A0000704,2026-07-14,08:38:39,Payment,378.74,Mobile App,Successful,Utilities,Gauteng
T000000011,A0002496,2025-12-15,15:39:16,Debit Order,623.03,ATM,Successful,N/A,KwaZulu-Natal
T000000012,A0000467,2026-07-10,08:03:15,Payment,336.17,Mobile App,Successful,Groceries,Gauteng
T000000013,A0002125,2025-06-23,11:47:25,Transfer,193.07,Internet Banking,Failed,N/A,Eastern Cape
T000000014,A0002566,2026-06-19,20:48:31,Deposit,1629.02,Card,Successful,N/A,Gauteng
T000000015,A0002309,2023-08-27,14:33:14,Deposit,791.95,Branch,Failed,N/A,KwaZulu-Natal
T000000016,A0002863,2024-10-08,12:57:20,Card Purchase,1577.22,Card,Successful,Telecoms,KwaZulu-Natal
T000000017,A0002015,2025-11-12,06:00:18,Deposit,4737.24,Branch,Successful,N/A,Gauteng
T000000018,A0001803,2026-07-23,13:44:11,Card Purchase,629.37,Branch,Successful,Education,KwaZulu-Natal
T000000019,A0002749,2026-04-21,18:34:22,Card Purchase,1367.82,Mobile App,Successful,Utilities,Western Cape
T000000020,A0002529,2026-05-23,22:04:08,Transfer,211.11,Card,Successful,N/A,KwaZulu-Natal
T000000021,A0003093,2026-02-12,09:46:04,Card Purchase,599.14,POS,Successful,Fuel,Gauteng
T000000022,A0002033,2025-07-23,08:50:57,Transfer,525.7,Card,Successful,N/A,Gauteng
